symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,horsepower,peak-rpm,city-mpg,highway-mpg,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_fwd,drive-wheels_rwd,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,price
-1,95.0,18063.18181818182,0,0,0,109.1,188.8,68.9,55.5,3012,6,173,3.58,134.0,5500.0,18,23,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,21485.0
0,85.0,8295.5,0,0,0,96.5,175.4,65.2,54.1,2304,4,110,3.15,86.0,5800.0,27,33,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,8845.0
1,148.0,7875.444444444444,0,0,0,93.7,157.3,63.8,50.6,1989,4,90,2.97,68.0,5500.0,31,38,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,6692.0
3,186.0,27273.0,0,0,1,94.5,168.9,68.3,50.2,2778,4,151,3.94,143.0,5500.0,19,27,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,22018.0
-1,95.0,18063.18181818182,0,0,0,109.1,188.8,68.9,55.5,2952,4,141,3.78,114.0,5400.0,23,28,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,16845.0
2,137.0,8295.5,0,0,1,86.6,144.6,63.9,50.8,1713,4,92,2.91,58.0,4800.0,49,54,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,6479.0
0,81.0,5863.0,0,0,0,94.5,158.8,63.6,52.0,1909,4,90,3.03,70.0,5400.0,38,43,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,6575.0
0,89.0,8831.6,0,0,0,97.0,173.5,65.4,53.0,2455,4,108,3.62,94.0,5200.0,25,31,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,10198.0
1,128.0,10733.375,0,0,1,94.5,165.3,63.8,54.5,1889,4,97,3.15,69.0,5200.0,31,37,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,5499.0
0,161.0,15848.0,0,1,0,108.0,186.7,68.3,56.0,3130,4,134,3.61,142.0,5600.0,18,24,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,18150.0
3,197.0,10006.25,0,0,1,102.9,183.5,67.7,52.0,2976,6,171,3.27,161.0,5200.0,20,24,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,16558.0
2,115.0,17859.166666666668,0,0,1,99.8,177.3,66.3,53.1,2507,5,136,3.19,110.0,5500.0,19,25,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,15250.0
0,115.0,9595.0,0,0,0,96.1,181.5,66.5,55.2,2579,4,132,3.46,95.0,5200.0,23,31,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,9295.0
1,154.0,8362.0,0,0,0,93.7,157.3,63.8,50.6,1967,4,90,2.97,68.0,5500.0,31,38,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,6229.0
2,161.0,9766.142857142857,0,0,1,93.7,157.3,64.4,50.8,1918,4,92,2.97,68.0,5500.0,37,41,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,5389.0
0,102.0,8831.6,0,0,0,97.0,172.0,65.4,54.3,2385,4,108,3.62,82.0,4800.0,24,25,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,9233.0
0,128.0,10733.375,0,0,0,100.4,181.7,66.5,55.1,3095,6,181,3.43,152.0,5200.0,17,22,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,13499.0
-1,65.0,10006.25,0,0,0,102.4,175.6,66.5,53.9,2458,4,122,3.31,92.0,4200.0,27,32,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,11248.0
0,106.0,10733.375,0,0,0,97.2,173.4,65.2,54.7,2324,4,120,3.33,97.0,5200.0,27,34,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,8949.0
-1,65.0,10006.25,1,1,0,102.4,175.6,66.5,54.9,2480,4,110,3.27,73.0,4500.0,30,33,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,10698.0
0,106.0,10733.375,0,0,0,97.2,173.4,65.2,54.7,2302,4,120,3.33,97.0,5200.0,27,34,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,9549.0
1,101.0,8295.5,0,0,1,93.7,150.0,64.0,52.6,1837,4,79,2.91,60.0,5500.0,38,42,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,5399.0
0,188.0,22865.0,0,0,0,101.2,176.8,64.8,54.3,2765,6,164,3.31,121.0,4250.0,21,28,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,21105.0
0,78.0,8295.5,0,0,0,96.5,157.1,63.9,58.3,2024,4,92,2.92,76.0,6000.0,30,34,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,7295.0
1,154.0,8362.0,0,0,0,93.7,167.3,63.8,50.8,2191,4,98,2.97,68.0,5500.0,31,38,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,7609.0
0,115.0,8916.5,0,0,0,94.3,170.7,61.8,53.5,2337,4,111,3.31,78.0,4800.0,24,29,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,6785.0
-2,103.0,18063.18181818182,0,0,0,104.3,188.8,67.2,56.2,2912,4,141,3.78,114.0,5400.0,23,28,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,12940.0
1,103.0,10733.375,0,0,0,94.5,170.2,63.8,53.5,2024,4,97,3.15,69.0,5200.0,31,37,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,7349.0
2,83.0,8831.6,0,0,1,93.3,157.3,63.8,55.7,2240,4,108,3.62,73.0,4400.0,26,31,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,7603.0
1,113.0,10415.285714285714,0,0,0,93.1,166.8,64.2,54.1,1950,4,91,3.08,68.0,5000.0,31,38,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,7395.0
2,115.0,9595.0,0,0,1,96.1,176.8,66.6,50.5,2460,4,132,3.46,95.0,5200.0,23,31,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,9895.0
1,168.0,10006.25,0,0,1,94.5,168.7,64.0,52.6,2300,4,98,3.24,112.0,6600.0,26,29,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,9538.0
1,107.0,8295.5,0,0,1,96.5,169.1,66.0,51.0,2293,4,110,3.15,100.0,5500.0,25,31,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,10345.0
1,154.0,8362.0,0,0,0,93.7,167.3,63.8,50.8,1989,4,90,2.97,68.0,5500.0,31,38,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,6692.0
0,161.0,15848.0,1,1,0,107.9,186.7,68.4,56.7,3252,4,152,3.7,95.0,4150.0,28,33,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,17950.0
1,148.0,7875.444444444444,0,1,0,93.7,157.3,63.8,50.6,2191,4,98,3.03,102.0,5500.0,24,30,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,8558.0
0,102.0,8831.6,0,0,0,97.2,172.0,65.4,52.5,2340,4,108,3.62,94.0,5200.0,26,32,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,9960.0
0,108.0,10733.375,0,0,0,100.4,184.6,66.5,55.1,3060,6,181,3.43,152.0,5200.0,19,25,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,13499.0
0,115.0,15848.0,1,1,0,114.2,198.9,68.4,58.7,3485,4,152,3.7,95.0,4150.0,25,25,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,17075.0
1,115.0,15498.333333333334,0,0,1,94.5,171.2,65.5,52.4,2823,6,152,2.68,154.0,5000.0,19,26,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,16500.0
3,153.0,9766.142857142857,0,1,1,96.3,173.0,65.4,49.4,2370,4,110,3.17,116.0,5500.0,23,30,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,9959.0
0,115.0,34125.0,0,0,1,102.0,191.7,70.6,47.8,3950,12,326,3.54,262.0,5000.0,13,17,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,36000.0
-2,103.0,18063.18181818182,0,1,0,104.3,188.8,67.2,56.2,3045,4,130,3.62,162.0,5100.0,17,22,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,18420.0
-2,103.0,18063.18181818182,0,0,0,104.3,188.8,67.2,56.2,2935,4,141,3.78,114.0,5400.0,24,28,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,15985.0
-1,137.0,9766.142857142857,0,0,0,96.3,172.4,65.4,51.6,2403,4,110,3.17,116.0,5500.0,23,30,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,9279.0
1,168.0,10006.25,0,0,1,94.5,168.7,64.0,52.6,2265,4,98,3.24,112.0,6600.0,26,29,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,9298.0
0,106.0,8295.5,0,0,1,96.5,167.5,65.2,53.3,2236,4,110,3.15,86.0,5800.0,27,33,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,7895.0
-1,74.0,18063.18181818182,0,0,0,104.3,188.8,67.2,57.5,3034,4,141,3.78,114.0,5400.0,23,28,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,13415.0
0,115.0,10415.285714285714,0,0,0,98.8,177.8,66.5,55.5,2425,4,122,3.39,84.0,4800.0,26,32,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,11245.0
1,118.0,7875.444444444444,0,1,1,93.7,157.3,63.8,50.8,2128,4,98,3.03,102.0,5500.0,24,30,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,7957.0
0,102.0,8831.6,0,1,0,97.0,172.0,65.4,54.3,2510,4,108,3.62,111.0,4800.0,24,29,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,11259.0
3,194.0,10733.375,0,0,1,91.3,170.7,67.9,49.7,3071,6,181,3.43,160.0,5200.0,19,25,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,17199.0
1,101.0,8295.5,0,0,1,93.7,150.0,64.0,52.6,1956,4,92,2.91,76.0,6000.0,30,34,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,7129.0
0,188.0,22865.0,0,0,1,101.2,176.8,64.8,54.3,2710,6,164,3.31,121.0,4250.0,21,28,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,20970.0
-1,74.0,18063.18181818182,0,1,0,104.3,188.8,67.2,57.5,3157,4,130,3.62,162.0,5100.0,17,22,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,18950.0
1,168.0,10006.25,0,0,1,94.5,168.7,64.0,52.6,2169,4,98,3.19,70.0,4800.0,29,34,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,8058.0
1,158.0,17859.166666666668,0,0,0,105.8,192.7,71.4,55.7,2844,5,136,3.19,110.0,5500.0,19,25,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,17710.0
-1,110.0,7875.444444444444,0,0,0,103.3,174.6,64.6,59.8,2535,4,122,3.34,88.0,5000.0,24,30,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,8921.0
-1,74.0,8362.0,0,0,0,103.3,174.6,64.6,59.8,2535,4,122,3.35,88.0,5000.0,24,30,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,8921.0
2,164.0,17859.166666666668,0,0,0,99.4,176.6,66.4,54.3,2824,5,136,3.19,115.0,5500.0,18,22,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,17450.0
1,101.0,8295.5,0,0,1,93.7,150.0,64.0,52.6,1940,4,92,2.91,76.0,6000.0,30,34,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,6529.0
0,89.0,8831.6,0,0,0,97.0,173.5,65.4,53.0,2290,4,108,3.62,82.0,4800.0,28,32,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,7463.0
0,85.0,8831.6,0,1,0,96.9,173.6,65.4,54.9,2650,4,108,3.62,111.0,4800.0,23,23,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,11694.0
0,161.0,15848.0,1,1,0,107.9,186.7,68.4,56.7,3252,4,152,3.7,95.0,4150.0,28,33,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,16900.0
0,85.0,8831.6,0,0,0,96.9,173.6,65.4,54.9,2420,4,108,3.62,82.0,4800.0,23,29,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,8013.0
0,192.0,22865.0,0,0,0,101.2,176.8,64.8,54.3,2395,4,108,3.5,101.0,5800.0,23,29,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,16925.0
0,118.0,10415.285714285714,0,0,0,104.9,175.0,66.1,54.4,2670,4,140,3.76,120.0,5000.0,19,27,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,18280.0
0,161.0,15848.0,0,0,0,107.9,186.7,68.4,56.7,3075,4,120,3.46,97.0,5000.0,19,24,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,16630.0
1,87.0,10006.25,0,0,1,95.7,158.7,63.6,54.5,1985,4,92,3.05,62.0,4800.0,35,39,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,5348.0
2,134.0,10006.25,0,0,1,98.4,176.2,65.6,52.0,2679,4,146,3.62,116.0,4800.0,24,30,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,11199.0
3,115.0,15498.333333333334,0,0,1,88.6,168.8,64.1,48.8,2548,4,130,3.47,111.0,5000.0,21,27,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,13495.0
2,94.0,10040.555555555555,1,0,0,97.3,171.7,65.5,55.7,2264,4,97,3.01,52.0,4800.0,37,46,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,7995.0
0,91.0,10006.25,0,0,0,95.7,166.3,64.4,52.8,2109,4,98,3.19,70.0,4800.0,30,37,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,7198.0
0,115.0,37304.0,0,0,0,120.9,208.1,71.7,56.7,3900,8,308,3.8,184.0,4500.0,14,16,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,40960.0
3,115.0,27273.0,0,0,1,89.5,168.9,65.0,51.6,2756,6,194,3.74,207.0,5900.0,17,25,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,32528.0
-1,93.0,37304.0,1,1,0,110.0,190.9,70.3,56.5,3515,5,183,3.58,123.0,4350.0,22,25,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,25552.0
0,145.0,34125.0,0,0,0,113.0,199.6,69.6,52.8,4066,6,258,3.63,176.0,4750.0,15,19,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,32250.0
2,134.0,10006.25,0,0,1,98.4,176.2,65.6,52.0,2540,4,146,3.62,116.0,4800.0,24,30,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,8449.0
